No,City,Vehicle,Connector,Battery,Temperature,Initial charge,Scenario
1,"Munich, Germany",BMW i3 120Ah,CCS,42.2 kWh,20 °C,5.4 kWh (13%),Fairly low charge at start
2,"San Francisco, USA",Chevrolet Bolt EV,CCS,65 kWh,15 °C,3.6 kWh (6%),Low start charge + route resolves directly (no stop needed)
3,"Las Vegas, USA",Ford Mustang Mach-E,CCS,88 kWh,35 °C,1.8 kWh (2%),Nearly empty at start + desert heat
4,"London, UK",Kia e-Niro,CCS,64.8 kWh,10 °C,6.3 kWh (10%),Route across the whole city + route resolves directly (no stop needed)
5,"Beijing, China",BYD Han EV,CCS,85.4 kWh,-5 °C,1.8 kWh (2%),Nearly empty at start + mild winter
6,"Boston, USA",Kia EV6,CCS,77.4 kWh,-15 °C,3.6 kWh (5%),Sharp cold snap + route resolves directly (no stop needed)
7,"Tokyo, Japan",Nissan Ariya,CHAdeMO,91 kWh,28 °C,2.7 kWh (3%),Nearly empty at start + humid heat
8,"St. Petersburg, Russia",Nissan Leaf,CHAdeMO,40 kWh,-25 °C,7.2 kWh (18%),Severe winter
9,"Moscow, Russia",Moskvich 3e,CCS,39 kWh,22 °C,25.0 kWh (64%),Summer + route resolves directly (no stop needed)
10,"Las Vegas, USA",Smart EQ fortwo (degraded battery),CCS,5.5 kWh (of 17.6 kWh),-10 °C,1.0 kWh (18%),Degraded battery + mild winter + corridor with several stations at contrasting prices
11,"St. Petersburg, Russia",Mitsubishi i-MiEV (degraded battery),CHAdeMO,8 kWh (of 16 kWh),-15 °C,2.0 kWh (25%),Degraded battery + moderate winter
12,"Beijing, China",Wuling Hongguang MINI EV (degraded battery),TYPE_2,1.3 kWh (of 9.2 kWh),-18 °C,1.3 kWh (100%),Degraded battery + pronounced winter + wide choice of stations along the whole route
